Name,LunchRating
Gyararishioriya  ,
Kyounishikiobanzaibyuffehinataya  ,3.0
kamanzanijoumarufuku  ,
coLLabo  ,3.18
tonkotsunabetogyouzaenraku  ,
Ryuuan  ,3.41
Ace cafe  ,3.0
Resutoranrejina  ,3.04
Akasaki  ,3.04
Ozabu  ,
Sutekiandodainaburuba  ,
Yakinikuyoshimi  ,3.39
sute-kihausupondo  ,3.07
Gyouzamatsukichi  ,
Pontochounabariya  ,
Kamehameha  ,
Bunta  ,
Bejitejiya  ,
Juujuu  ,
Kuuan  ,
L'ajitto  ,
Aburaya  ,
yakitorisutandosakabakadofuku  ,
Kyoutosakagurakan  ,3.21
Sutekihanasato  ,3.33
Tawaterasu  ,3.5
Gionshimbashinakatani  ,3.31
Orudohonkonresutorankyouto  ,3.61
Okonomiyakitsuruhashifuugetsu  ,3.09
Yakinikuyaruki  ,3.06
trattoria sette  ,3.52
Kurosuke  ,3.08
Imozou  ,
Denen  ,3.05
Kenzoesuteitowainarigionten  ,3.1
Osteria Bastille  ,3.49
IN THE GREEN  ,3.54
Ajoiichanchi  ,3.11
Kitayamafuurin  ,
burassuri-kontowa-ru  ,3.38
Honmamonwagyu-sakanaya-hirari  ,3.0
Manchou  ,3.07
Risutoranteoraegion  ,3.06
Taishuunikubarujuu  ,
Oyajinokura  ,
Occobe.  ,3.0
itariamba-rukimuraya  ,
Cafe Restaurant Le Temps  ,3.5
sushidainingudaihachi  ,
Umayakinikusemmontensakuratomomiji  ,
kyoutofushimigurapontochouminamian  ,3.05
Gempinfugushijoukarasumanoseki  ,
Shou  ,
Nikujuuhachi  ,
Gori's Kitchen  ,
Tenkanoyakinikudaishougun  ,3.04
Kameya  ,3.03
giombashunrou  ,
Chishokufu  ,3.06
eetokodori  ,
Kasuian  ,3.04
Mimasuyamonami  ,3.48
Juunikiyakan  ,3.0
kunseitojibi-ruwachi  ,
Torihime  ,
Cafe Lavender  ,3.02
Kyoutobatake  ,
Fesshimon  ,
nikuyaoushin  ,
Sumibirobataikoru  ,
Hisa  ,3.38
Horumondaigorou  ,
Hikohachi  ,3.04
Matsusakagyuuwattsu  ,3.38
FORTUNE GARDEN KYOTO  ,3.56
Enrian  ,
kyuushuusakabaajito  ,
Heso  ,3.08
Kyounozenkuruma  ,3.54
oushuuizakayabiruzu  ,3.0
Aburishibuya  ,
Norakuro  ,3.06
Fuubitosuuro  ,
Kaisendokorowatanabeya  ,
Gioniwamoto  ,3.68
Gyuutankeisuke  ,
Oribuoirusemmontenaorio  ,
Seichuuan  ,3.05
Kyoukurozakura  ,
Nettaishokudou  ,3.28
Toriseetakoyakushiten  ,3.06
Fujiishi  ,
yakinikuyaruki  ,
Unkai  ,3.35
Izakayamaruya  ,
kyoutoarashiyamagoseiyuunoyadoranzan  ,3.06
Shimogamosaryou  ,3.65
Kifunekiraku  ,3.08
Nikuyasuzu  ,3.05
KITAYAMA MONOLITH  ,3.05
Watanabe  ,3.04
clover  ,
hamba-guandosute-kipondo  ,3.05
Gempinfugukyoutoekimaenoseki  ,3.07
guramuromanthikkumairu-mu  ,
Giombengara  ,
gochisouizakayaippaiippai  ,
uotanafumibun  ,
Kyouhorumonkura  ,3.03
itariambarutoreotto  ,
Buraitonkicchin  ,3.07
Aritsune  ,
Akayashirosakae  ,
Kihara  ,3.05
Kamon  ,3.06
Mew’z cafe  ,3.06
kyougokushinobinosato  ,3.04
Takaraya  ,
datten  ,
Tatsumi  ,
chuugokuryourikoukaryuuhou  ,3.17
Kaburaya  ,
Kaiseitei  ,3.37
Kushikatsutakoyakiseichan  ,3.02
Gyuuzen  ,
Kyouzakanafukuya  ,
Toto  ,3.21
Ganko  ,3.32
PASTA MORE  ,3.0
Kyoumachibaru  ,
wagyuuyakinikutoku  ,3.2
Dembei  ,3.16
Tsukinokurabito  ,3.46
Kinnotori  ,
Zekuu  ,3.3
Rojimon  ,3.0
Aiemuo  ,
Al Vere  ,3.01
Nijoukiduki  ,3.55
Hirarinteitemboukaku  ,
Kyoutogiommiyagawachououmie  ,3.05
kibunebeniya  ,3.51
Koikoi  ,
Suiba  ,3.12
Bussarakan  ,3.24
Saikouchou  ,
Noukoutoripaitanramemmisora  ,3.09
Yakinikutoraji  ,3.25
Ganko  ,3.18
Sajjoupakuchi  ,3.49
Gionhatanaka  ,3.54
YURURI  ,3.06
Yakinikushoukakuoukiyamachitei  ,
Houshouan  ,
Kankokuanjupontochourinanha  ,
oumigyuujukuseisute-kiichigo-kyu-roku  ,3.04
Yukinoshita  ,3.58
Yakinikuhorumonfukukawa  ,
Purachinabifu  ,3.27
Gionroiro  ,3.58
Gyuurakutei  ,
Ristorante t.v.b  ,3.62
YEBISU  ,3.07
Takayasuzekuu  ,3.09
Koshitsuyakinikugokkoya  ,
Ebisu  ,3.17
izakayakyounoshunsaiirodori  ,
matono  ,3.72
Shiunsen  ,3.52
BEER PUB Takumiya  ,3.05
Kidoriya  ,3.0
Kumamotosougouinshokutemmao  ,3.46
shijoupakuchi-  ,3.3
SOUDEN  ,3.14
Kyoutotsuyushabuchiriri  ,3.51
waintoonikudaisen  ,
Gokyou  ,3.16
Daburin  ,3.0
Enyahanare  ,
koubegyuuyakinikutaishitei  ,
nihonryourisakuragawa  ,3.97
Sushikawano  ,3.59
Mameyagenzou  ,3.08
chuukasobatakayasu  ,3.59
Kyouhorumontaisha  ,
cafe Cento Cento  ,3.0
yakinikubunya  ,
Teuchisobaminagawa  ,3.17
Kerara  ,3.38
Maribu  ,3.07
takoyakimihashiya  ,3.23
Taverunamezzanotte  ,
Shunsaitempuraarima  ,3.41
Kitanoguriru  ,3.09
Torishinoguraten  ,
hakataaburimotsunabewarajiya  ,
Ryuumon  ,3.07
Kaiuntei  ,3.31
Kemuri  ,
Ajirokkon  ,3.15
Rinya  ,
Wasabi  ,
Kappousaraku  ,
kaisembarukamebarueito  ,
Roko  ,3.18
kafeandopanke-kiguramu  ,3.03
Kyouryouritakeshimaichigo  ,3.08
Kiyomizujunsei  ,3.31
Kokekokko  ,3.08
Gionuemori  ,
Daniel's  ,3.5
Kyounojidoriyaaki  ,3.05
Rozurumu  ,3.1
ottimo  ,3.53
Kunseimaketto  ,3.33
Miyakohanten  ,3.28
Shichirinya  ,
Kushiagetoshiko  ,
Ishiyakinamapasutakuranosuke  ,3.09
Buruvaru  ,3.06
ORENO PAN okumura  ,3.56
Osuteriakochinerra  ,3.16
Sumibiyakinikugyuugyuutei  ,3.0
Bapontochoukisshou  ,
karubidontosundoufusemmontenkandon  ,3.2
Momoya  ,3.02
motsunabekamehachi  ,
nikubarushouzudainingu  ,
yakinikushokudoukandon  ,3.07
Kyoutohanagushi  ,
Harise  ,3.58
Hayashi  ,
Iori  ,
Kankokusakuratei  ,3.24
Norumandhi  ,3.29
Rokurokuato  ,
Sagano  ,3.57
Kaosusupaisudaina  ,3.35
Erushimmachi  ,3.09
Ginzaraion  ,3.09
kyouyakinikukikyou  ,3.11
Robatasushihotaru  ,3.22
nikubaruginjirou  ,3.29
Tanuki  ,
Arashiyamamitate  ,3.6
Gansochikaranikumiyoshi  ,
Rakuzouutage  ,
Kyoutomamehachi  ,3.11
Garejisankyukafe  ,3.0
Membou  ,3.17
Masohohanare  ,
Yumeya  ,
Giontakahashi  ,
Ranka  ,3.58
Hakatamotsunabefukuya  ,
Ramenhikosaku  ,3.45
Shunsaisousakubifferoan  ,3.0
Tempurabaruharuichi  ,3.02
Tankumakitamise  ,3.62
Miho  ,
Tempurakawatatsu  ,3.61
Gyaatei  ,3.51
Ryuumon  ,3.08
Yakinikudaisen  ,
Erupojo  ,
Man  ,
Baoku  ,
Arashiyamakohakudou  ,3.08
Shinshin  ,
Icchou  ,
Shusaishokubouichi  ,3.18
supeimbarurapaera  ,3.23
Gimmiyananairo  ,
Marugameseimen  ,3.08
Ramenfuji  ,3.14
Kyoutogionkawamuraryourihei  ,3.06
Sentoro  ,
Giommikaku  ,3.01
Enyanishiki  ,3.22
Kampaiboupuruda  ,
Menshoutakamatsu  ,3.07
Kyounooheso  ,3.02
Zen  ,
Aburiya  ,
kodawaritamagosemmontentamagoya  ,3.15
Tenjiyuen  ,
Rinku  ,
Nishikiichiha  ,3.43
Kushiageadachi  ,3.07
Haiborubakyoutoichikyunisan  ,3.07
Washokumai  ,3.0
Kyoutonanajouyakinikusakabayamadaruma  ,
nikubaruandohorumonnabetaigu  ,3.03
Itoukyuuemon  ,3.58
Kantonoryouritakeka  ,
Chikurin  ,3.01
Satsumayakinikukurozakurakurozakura  ,3.06
Takasegawa  ,
Hairaitoshiyokudou  ,3.08
Kikusui  ,3.33
Kimukatsu  ,3.08
Kafemanowaru  ,3.06
Purejiru  ,3.3
Sumibiyakitorikajian  ,3.04
Kazamidori  ,
SPOON  ,
Isobe  ,3.0
Sukairaunjikuu  ,3.03
Kaiuntei  ,3.06
Honkedaiichiasahi  ,3.6
Kichisen  ,4.11
Hisago  ,3.53
shikimanzenhanahana  ,
Gurumatei  ,
Kappouiimori  ,
barchetta  ,
Ajinomeimon  ,3.09
Nagagutsutei  ,3.0
Ishise  ,
Apikaruinkyouto  ,
